fancyname;category;company;purchases;ads;usersinteract;age_rating;Downloads;price;rating;numberreviews;five;four;three;two;one
Stickman Backflip Killer 5;simulation;forsis studio;1;1;0;7;1000000;0;3.9;18442;100;23;14;7;27
Stickman Destruction 3 Epic;simulation;merkury games;1;1;0;7;1000000;0;3.9;8741;100;11;7;5;32
Animal Hunting:Jeep Drive Simulator;action;logic rack;1;1;0;16;10000000;0;3.8;20237;100;10;9;8;36
Go Helicopter (Helicopters);arcade;mateuszowsky;0;1;0;0;1000000;0;4.3;4537;100;22;7;4;11
Police Car Chase - Cop Simulator;simulation;game pickle;1;1;0;0;1000000;0;3.7;7845;100;21;19;12;35
Evolution Simulator 2;simulation;voxel fun;1;1;0;0;1000000;0;2.8;4981;78;30;29;29;100
Snail Ride;arcade;bloop games;1;1;0;0;500000;0;4.5;14259;100;17;8;3;4
This or That;casual;a creative endeavor ab;1;1;1;0;1000000;0;4.7;73354;100;21;4;0;1
Knife Attacks: Stickman Battle, Fight Warriors;action;smvd games;1;1;0;12;500000;0;4.3;5148;100;19;10;1;12
Stickman Cover Fire Shooting;action;stickman 3d champs;0;1;0;12;100000;0;4.0;1114;100;21;12;9;25
Stickman Parkour Platform 2 - Ninja simulator;action;limberger;0;1;0;0;500000;0;4.0;3032;100;14;17;7;21
Rima: The Story Begins - Adventure Game;adventure;up entertainment ltd.;0;1;0;7;10000;4.59;4.2;476;100;20;9;12;13
The Little Fox;action;zplay games;1;1;0;0;1000000;0;4.5;31728;100;16;6;3;5
FMdB - Soccer Database;sports;sega;1;1;0;0;100000;0;3.1;876;100;34;21;7;100
Ekstar 2048;puzzle;ekstar company;0;0;0;0;100000;0;4.2;1266;100;12;7;3;16
Sudoku Free;puzzle;banana & co.;1;1;0;0;100000;0;4.8;7695;100;15;3;0;0
Cliffhanger - Chat Stories;simulation;hype bits;1;1;0;12;1000000;0;4.2;39791;100;18;9;4;19
Chaos Battle League - PvP Action Game;action;rogue games, inc.;1;1;1;7;1000000;0;4.2;55764;100;27;10;4;15
Power Rangers: Legacy Wars;action;nway inc.;1;1;1;12;10000000;0;4.2;326879;100;13;8;4;19
Gloomhaven Helper;board;esoteric software;1;1;0;0;50000;0;4.7;117;100;11;5;2;2
Tracker for Mice and Mystics;board;eyecreate;0;0;0;0;5000;0;4.2;108;100;75;31;10;4
Puzzle Cross Pirates Adventure;puzzle;questtracers;1;0;0;0;50000;0;3.7;1689;100;46;25;19;31
April Coloring;board;crimson pine games;1;1;0;0;100000;0;4.1;515;100;14;8;5;20
Trivia Quiz : Words Up;word;liya;1;1;0;0;1000;0;4.5;108;100;29;9;5;2
Flight Sim 2018;simulation;ovidiu pop;1;1;0;0;5000000;0;4.0;79337;100;21;12;6;22
Paint.io;arcade;hex angle gaming;0;1;0;0;100000;0;2.0;1056;23;9;9;21;100
Blinds Are Up! Poker Timer;card;cg thomas;1;1;0;12;50000;0;4.5;219;100;33;4;4;4
Road to Legend;board;fantasy flight games;1;0;0;0;100000;0;4.2;1764;100;33;17;3;14
M�lkky Game Tracker;sports;tactic games;0;0;0;0;100000;0;3.0;339;91;20;6;13;100
Random Mahjong;puzzle;paul burkey;0;1;0;0;1000000;0;4.3;18042;100;28;13;7;9
Most Likely - Best Party Game;word;robot mafia studios;1;1;0;16;10000;0;3.1;107;100;32;37;16;94
Powerline - Logic Puzzles;puzzle;leaflock;1;1;0;0;1000000;0;4.5;15683;100;23;7;2;7
Yatzy;board;spigo;1;1;0;0;500000;0;4.0;5598;100;14;11;5;23
Barcy;educational;imascono;0;0;0;0;5000;0;3.9;26;100;0;11;0;33
Height Phobia VR;simulation;ak web designer;0;0;0;0;10000;0;3.0;47;90;25;5;15;100
Samorost 3;adventure;amanita design;0;0;0;7;100000;4.99;4.5;10421;100;7;2;2;8
Slime Pizza;adventure;nitrome;1;1;0;12;100000;0;3.7;845;100;41;26;17;32
Flags Quiz;trivia;bubble quiz games;1;1;0;0;1000000;0;4.5;13585;100;25;9;2;6
Split;casual;hamdi's tech;1;1;0;0;100000;0;4.4;2168;100;45;16;2;4
Golf GameBook - Best Golf App;sports;gamebook oy;1;1;1;0;50000;0;4.3;1214;100;56;13;4;9
Reckless Racing 3;racing;pixelbite;1;0;0;0;100000;2.19;4.6;18616;100;19;4;2;4
SRCH! Coloring games. Brain games for adults, kids;puzzle;wowmaking;1;1;0;0;100000;0;4.1;2601;100;23;14;8;19
Bordentrainer;puzzle;verjo bv verkeersleermiddelen;0;0;0;0;100000;0;4.2;452;100;34;16;1;13
Summoner's Greed: Endless Idle TD Heroes;strategy;pixio;1;1;0;7;1000000;0;4.7;81652;100;9;3;1;3
Prey Day: Survival - Craft & Zombie;action;pragmatix;1;0;0;12;1000000;0;3.9;58798;100;26;16;10;26
Run Bird Run;arcade;ketchapp;1;1;0;0;1000000;0;4.2;58974;100;25;12;7;12
EvoWars.io;action;night steed s.c.;1;1;0;7;1000000;0;4.2;39122;100;11;7;3;19
gunzer io;action;mawika;1;1;0;12;100000;0;3.8;4363;100;18;15;8;34
Mad Dex;arcade;game guild;1;1;0;12;10000000;0;4.2;218854;100;19;9;4;16
Carrying boxes;casual;21g.;1;1;0;0;500000;0;4.5;7312;100;17;6;1;6
Mancala;board;appon innovate;1;1;0;0;5000000;0;3.9;46346;100;22;24;7;28
Save Cat;puzzle;fastone games;1;1;0;0;1000000;0;3.8;8312;100;22;14;9;37
Chinese Chess, Xiangqi;board;freedom rabbits;0;1;0;0;100000;0;4.1;592;100;23;9;6;19
Worms 3;arcade;team 17 digital limited;1;0;0;7;1000000;4.49;4.1;68865;100;25;9;5;22
Human Evolution - Create your own Mankind!;simulation;tapps games;1;1;0;0;100000;0;4.1;2941;100;24;16;6;20
Machinery - Physics Puzzle;puzzle;wooggames;1;1;0;0;500000;0;4.1;2665;100;30;9;4;19
Room Escape Game - EXITs3;adventure;exits;0;1;0;0;1000000;0;4.4;4765;100;19;11;3;7
Throne Rush;strategy;nexters global ltd;1;1;1;7;10000000;0;4.5;1209169;100;15;7;2;8
Magic Rampage;role playing;asantee;1;1;0;12;5000000;0;4.7;275783;100;14;4;1;3
Armor: Color Circles;arcade;pixels on fire games;1;1;0;0;1000000;0;4.6;17451;100;24;6;0;2
Forest Rescue: Match 3 Puzzle;puzzle;qublix games;1;0;0;0;1000000;0;4.7;148266;100;12;4;1;2
Unicorn Dress Up - Girls Games;casual;best dress up games for girls;0;1;0;0;1000000;0;3.9;517;100;12;10;6;28
Epic Summoners: Hero Legends - Fun Free Idle Game;role playing;feelingtouch hk;1;0;1;7;1000000;0;4.4;75487;100;21;8;3;8
Magic Rush: Heroes;role playing;elex;1;0;1;12;10000000;0;4.4;1109559;100;15;6;2;10
Dynamons World;role playing;kizi games;1;1;0;7;5000000;0;4.5;191852;100;11;5;2;7
Epic Knights: Legend Guardians - Heroes Action RPG;role playing;unimob;1;1;0;7;100000;0;4.4;6439;100;15;8;3;11
Drakomon - Battle & Catch Dragon Monster RPG Game;role playing;gamedev sarl;1;1;0;12;1000000;0;4.3;31141;100;19;9;4;14
Where's My Avocado? Draw lines;puzzle;bitmango;1;1;0;0;5000000;0;4.1;25277;100;15;11;6;18
Scooter Freestyle Extreme 3D;sports;enjen games;1;1;0;0;5000000;0;4.2;52129;100;22;11;5;14
WoodBall;arcade;simge simulation;1;1;0;0;5000000;0;4.5;109034;100;19;8;1;6
Pic Quiz;trivia;havos ltd;1;1;0;12;1000000;0;3.8;7801;100;23;19;9;31
Dungeon Survival - Endless maze;role playing;frozen frog;1;1;0;12;500000;0;4.3;4938;100;22;6;3;12
Exiled Kingdoms RPG;role playing;4 dimension games;1;0;0;12;1000000;0;4.6;73062;100;19;5;2;4
God of Light;puzzle;playmous;1;1;0;0;5000000;0;4.5;278963;100;23;8;3;6
factory balls;puzzle;bart bonte;0;0;0;0;10000;1.99;4.8;1228;100;10;1;0;0
Criminal Case: Mysteries of the Past;adventure;pretty simple;1;1;0;12;5000000;0;4.6;83885;100;16;5;2;5
Legends of Callasia;strategy;boomzap inc.;1;0;0;0;5000;0;4.0;107;100;13;11;1;26
Baby Smart Games;educational;appquiz;1;1;0;0;1000000;0;3.9;5677;100;21;12;7;26
Mahjong Master Solitaire;puzzle;pm4;0;1;0;0;1000000;0;4.6;9506;100;24;6;2;2
CharadesApp - What am I? (Guessing and Mimics);word;artgs;1;1;0;0;1000000;0;4.2;26279;100;23;10;5;17
Word Search Ultimate;word;havos ltd;0;1;0;0;5000000;0;4.2;23855;100;27;15;6;13
SpriteBox : Code Hour;educational;spritebox llc;0;0;0;0;50000;0;4.5;817;100;10;9;1;9
Word Search Online;word;teewee games;0;1;0;0;1000000;0;3.8;6001;100;21;14;8;33
Guitar Legend;music;guitar legend games;0;1;1;0;1000000;0;4.1;36619;100;18;24;6;17
PLAYMOBIL Top Agents;action;geobra brandst�tter stiftung & co.kg;0;0;0;0;100000;0;4.0;596;100;17;9;2;30
Sesame Street Alphabet Kitchen;educational;sesame workshop;1;0;0;0;1000000;0;3.8;5062;100;19;16;12;29
VR Traffic Racing In Car Driving : Virtual Games;racing;fionxy games;1;1;0;0;1000000;0;2.6;2543;57;15;19;12;100
ABC Kids - Tracing & Phonics;educational;rv appstudios;0;0;0;0;10000000;0;4.4;46972;100;19;8;3;9
Learning Colors For Children;educational;edubuzzkids;1;1;0;0;100000;0;4.4;395;100;10;10;3;9
Shoot Bubble Extreme;arcade;bubble shooter;1;1;0;0;10000000;0;4.4;41818;100;25;11;2;5
Picross galaxy;puzzle;day-off games;1;1;0;0;500000;0;4.7;16009;100;21;4;1;1
Nonograms 999 griddlers;board;seventh rank;1;1;0;0;100000;0;4.6;3036;100;32;7;1;1
CrossMe Nonograms;puzzle;mobile dynamix;1;1;0;0;1000000;0;4.5;38257;100;22;8;2;5
Top Speed Highway Car Racing : free games;racing;door to apps;1;1;0;0;10000000;0;3.9;35636;100;12;13;5;31
Real City Car Driver;racing;scn studios;0;1;0;16;10000000;0;4.1;430176;100;9;10;4;23
Punch Boxing 3D;sports;canarydroid;1;1;0;16;50000000;0;4.4;1008588;100;15;9;2;8
Penalty Shoot Football Match: Soccer Game <U+26BD>;sports;saga games inc;1;1;0;0;500000;0;3.0;1591;100;8;8;17;91
Drag Battle;racing;ice storm;1;1;0;0;10000000;0;4.3;117856;100;19;9;3;11
Racing Car Traffic;racing;actions;0;1;0;0;1000000;0;4.2;10296;100;8;10;4;19
Nonogram 5 (Picross Logic);puzzle;kimbuja;0;1;0;0;50000;0;4.3;358;100;38;7;1;14
Dice With Buddies�;board;scopely;1;1;1;0;50000;2.21;3.9;10845;100;18;11;10;27
Bingo Pinball Dragon;casino;davihesoft;0;1;0;12;50000;0;3.7;360;100;33;23;14;40
Russian Roulette;simulation;nelset;1;1;0;7;1000000;0;3.4;4526;100;20;16;10;59
Motocross 2017;racing;aristokraken;0;1;0;0;50000;0;3.9;307;100;15;20;6;29
My Lottery machine;casino;giuseppe romano;0;1;0;12;10000;0;4.0;60;100;25;5;11;25
Learn English Sentence Master Pro;word;masterkey games;0;0;0;0;100000;11.99;4.5;2363;100;34;5;2;4
The Wall: Evolution;trivia;quiz nove app;1;1;0;0;100000;0;4.2;1087;100;14;13;8;10
MONZO - Digital Model Builder;simulation;madfinger games;1;0;0;0;5000000;0;4.2;210597;100;14;9;4;15
Mancala Ultimate;board;mobilefusion apps ltd;0;1;0;0;500000;0;3.2;3349;100;20;13;13;83
AR Card Animals PRO;educational;b2a apps;0;0;0;0;1000;0.79;2.9;35;92;14;7;35;100
Hedgehog's Adventures: Story with Logic Games Free;educational;sanvada llc;0;1;0;0;1000000;0;4.7;17589;100;18;3;1;2
Simple Solitaire Collection;card;tobias bielefeld;0;0;0;0;50000;0;4.5;545;100;11;4;3;7
Jungle Monkey Run;adventure;marble.lab;1;1;0;0;10000000;0;4.1;67461;100;15;9;5;19
DRESS UP STAR� <U+0001F457> Cool Fun Makeup Games for Girls;casual;best girls dress up makeup and nail manicure games;0;1;0;0;1000000;0;3.8;18098;100;12;10;8;38
Tay's Race;arcade;colossal arts llc;1;1;0;0;10000;0;4.3;787;100;5;3;5;15
Cars;educational;coloring games;1;1;0;0;10000000;0;4.3;29193;100;12;9;3;15
Write It! Japanese;educational;jernung;1;1;0;0;500000;0;4.7;9901;100;12;4;1;2
3D Dice;role playing;tim t;0;1;0;0;10000;0;4.3;125;100;29;16;3;7
Ant Simulation 3D - Insect Survival Game;simulation;hksdev;0;1;0;0;1000000;0;3.7;1914;100;23;15;11;41
Funky Bay - Farm & Adventure game;simulation;belka games;1;1;1;0;1000000;0;4.3;47941;100;26;13;5;9
Robbery Bob 2: Double Trouble;action;level eight ab;1;1;0;7;10000000;0;4.3;530973;100;12;7;4;13
Case Opener - skins simulator with minigames;simulation;efez games;1;1;1;12;1000000;0;4.4;161816;100;14;5;2;13
UNKILLED - Zombie FPS Shooting Game;action;madfinger games;1;1;0;16;10000000;0;4.5;63655;100;16;6;2;7
Baby Wooden Blocks Puzzle;educational;appquiz;1;1;0;0;5000000;0;4.3;16997;100;14;10;3;14
Bunny Pop;puzzle;bitmango;1;1;0;0;10000000;0;4.6;117771;100;16;5;1;4
Happy Birthday;casual;progimax;0;1;0;0;1000000;0;4.3;16625;100;18;9;3;14
Codeword;word;havos ltd;0;1;0;0;1000000;0;4.4;8372;100;36;6;3;8
Hexagon;casual;yang huiquan;0;1;0;0;1000;0;3.4;5;100;0;0;0;66
Einstein's Riddle;puzzle;kostas giannakakis;0;1;0;0;100000;0;4.0;1784;100;37;13;7;23
SuperStar-t;arcade;appwise;0;0;0;0;100;0;3.7;6;100;0;0;0;50
Division Game;puzzle;wissapp;1;1;0;0;10000;0;3.0;229;100;19;12;17;100
Fun with Physics Experiments Puzzle Game;puzzle;educ8s.com;0;1;0;0;500000;0;4.1;7496;100;12;11;5;21
The Rats;simulation;gamigo publishing gmbh;1;1;1;12;1000000;0;4.2;55006;100;18;10;5;16
Bingo Drive � Free Bingo Games to Play;casino;gliding deer;1;0;1;12;500000;0;4.4;11554;100;14;8;4;8
Hedgehog goes home;adventure;imp studio;1;1;1;0;1000000;0;4.3;7444;100;17;10;4;9
G.B. Scrum;card;ziggyqubert;0;0;0;0;5000;0;4.3;137;100;18;13;10;6
Word Search;word;lezigame;1;1;0;0;5000000;0;4.6;174453;100;13;5;1;3
Neon Rider;racing;maxgamescloud;0;1;0;7;1000000;0;4.0;13388;100;11;9;3;25
Piano Tiles;arcade;kury;0;1;0;0;100000;0;4.1;984;100;19;16;8;19
Draw Color by Number - Sandbox Pixel Art;casual;unicorn color by number;1;1;1;0;1000000;0;4.4;43087;100;9;5;3;12
Piano Tiles Game;music;game of logic;1;1;0;0;1000000;0;3.3;9462;100;21;24;18;70
Crossword;word;havos ltd;1;1;0;0;100000;0;4.2;1455;100;47;25;7;5
Tower Defense: Battle Zone;strategy;anibox;1;1;0;0;100000;0;4.6;20095;100;23;8;1;3
Criminal Case: Save the World!;adventure;pretty simple;1;1;0;12;5000000;0;4.6;127961;100;13;5;2;4
UNCHARTED: Fortune Hunter�;puzzle;playstation mobile inc.;1;0;0;12;1000000;0;4.3;20355;100;22;11;5;11
Tower builder;arcade;evgeny karavashkin;1;1;0;0;50000;0;4.0;533;100;19;18;1;26
City Traffic Control Simulator: Intersection Lanes;simulation;wacky studios -parking, racing & talking 3d games;1;1;0;0;500000;0;3.2;3637;100;28;23;16;76
Crafty Candy � Match 3 Adventure;puzzle;outplay entertainment ltd;1;1;0;0;1000000;0;4.6;131513;100;23;7;1;3
Dinosaur Simulator: Dino World;action;hgames-artworks;1;1;0;12;10000000;0;3.7;3596;100;16;11;8;39
Muscle Car Simulator;simulation;oppana games;1;1;0;18;1000000;0;3.6;2652;100;12;8;6;47
Real Boxing ��Fighting Game;sports;vivid games s.a.;1;1;0;16;10000000;0;4.3;489596;100;16;8;3;12
Home Renovate 'N Sale;simulation;applications-b;0;1;0;0;1000000;0;3.8;33674;100;17;13;9;34
Camper Van Beach Resort;racing;play with games;1;1;0;0;1000000;0;3.9;13679;100;25;13;10;29
Football Team Bus Driver 3D;simulation;slcngms;0;1;0;0;500000;0;3.7;5204;100;15;14;6;42
Driving Academy - Car School Driver Simulator 2019;racing;games2win.com;1;1;0;0;5000000;0;4.3;49307;100;17;10;4;13
Challenge your friends: Truth or Dare ? Dirty ! <U+0001F608>;casual;chouic;1;0;0;16;1000000;0;4.3;23033;100;9;8;3;14
Classic American Muscle Cars 2;racing;dmnk games;0;1;0;0;500000;0;4.2;4354;100;20;7;5;16
Dragster Mayhem - Top Fuel Drag Racing;racing;minicades mobile;1;1;0;0;1000000;0;4.2;10971;100;15;8;3;20
King of Sails: Ship Battle;action;azur interactive games limited;1;1;0;7;1000000;0;4.3;52001;100;14;6;3;13
Bubble Breaker;puzzle;fortis labs;0;1;0;0;500000;0;4.0;1483;100;20;13;8;22
Bridge Base Online;card;bridge base online;0;1;1;0;100000;0;4.2;4947;100;19;11;3;18
Connect Cells - Hexa Puzzle;puzzle;trung vu;1;1;0;0;50000;0;4.4;361;100;26;8;5;5
Dots and Boxes - Squares <U+2714><U+FE0F>;board;roghan games;0;1;0;0;1000000;0;3.6;24981;100;16;17;7;49
Squares Game;casual;dave hoy;0;0;0;0;100000;0;3.6;967;100;27;25;10;48
Secret Agent Spy Game Bank Robbery Stealth Mission;action;vinegar games;1;1;0;16;1000000;0;3.4;6479;100;14;14;9;59
PixArt;puzzle;dsgraham;1;1;0;0;100000;0;4.4;5011;100;15;5;3;9
2 To 2 - Match 3;puzzle;ltg games;0;1;0;0;100000;0;4.3;425;100;15;11;1;15
Mind Construct;arcade;studio rouleau;1;1;0;0;100000;0;3.8;351;100;43;33;14;23
ZOE: Interactive Story;simulation;the other guys;1;1;0;16;1000000;0;4.4;90163;100;15;7;3;9
Zoo Animal Puzzles for Kids;educational;tiltan games;1;1;0;0;500000;0;4.4;2728;100;15;11;2;10
Bonza Word Puzzle;word;minimega;1;1;1;0;500000;0;4.6;39929;100;27;7;1;3
Silph Road;adventure;the silph road;0;1;0;0;100000;0;3.0;982;100;19;39;37;88
Talking Tom Jump Up;arcade;outfit7 limited;1;1;0;0;1000000;0;3.7;4903;100;17;17;13;34
Baby FlashCards for Kids;educational;penguin apps;0;1;0;0;500000;0;3.9;4131;100;38;19;5;27
Mini Golf Stars 2;sports;the game masons;1;1;1;0;5000000;0;4.2;85254;100;39;19;3;12
Baby Phone - Games for Family, Parents and Babies;educational;penguin apps;0;1;0;0;5000000;0;4.4;49216;100;32;13;3;8
Rally Fury - Extreme Racing;racing;refuel games pty ltd;1;1;1;0;5000000;0;4.3;116038;100;22;11;3;10
Brain Teaser - Memory Limit;puzzle;sandstorm software fze;1;1;0;0;1000000;0;4.5;13697;100;17;6;1;5
Colliding Circles;board;roman remme;0;0;0;0;1000;0;4.7;46;100;10;7;0;2
Binary Challenge�  Binary Game;puzzle;increatly;1;1;0;0;100000;0;4.6;3167;100;16;6;2;5
XTeam - SF Clicker RPG;role playing;stormx;1;1;0;12;100000;0;4.4;32368;100;33;13;3;6
AQ First Contact (Strategy Space MMO);strategy;seven point red ltd;1;0;1;7;100000;0;4.2;1249;100;38;8;5;18
Hidden Folks;casual;adriaan de jongh;1;0;0;0;10000;4.49;4.7;1226;100;11;2;2;2
Fist of Truth - Magic Storm;strategy;funcell;1;0;1;0;100000;0;1.9;2179;23;3;7;9;100
Lineage 2: Revolution;role playing;netmarble;1;0;1;12;5000000;0;3.4;228436;100;14;14;11;59
Starlost - Space Shooter;role playing;hoodwinked studios;1;1;0;7;100000;0;4.3;5247;100;25;10;4;11
Dead Shell: Roguelike RPG;role playing;herocraft ltd.;1;1;0;7;1000000;0;4.4;6634;100;40;13;4;6
On My Own;adventure;on my own;1;1;0;0;1000000;0;3.9;47704;100;20;14;7;27
Hitman GO;puzzle;square enix ltd;1;0;0;7;500000;1.29;4.6;87919;100;18;3;1;4
DOFUS Touch;adventure;ankama games;1;0;1;12;1000000;0;3.5;46065;100;25;16;14;53
Agent A: A puzzle in disguise;puzzle;yak & co;0;0;0;7;100000;6.99;4.7;33328;100;11;3;1;2
Look, Your Loot! - A card crawler;card;dragosha;1;1;0;0;100000;0;4.6;2814;100;20;5;3;3
Age of Magic;role playing;playkot ltd;1;0;0;7;1000000;0;4.6;282404;100;13;4;2;6
Forge of Glory: Match3 MMORPG & Action Puzzle Game;role playing;kefir!;1;0;1;7;1000000;0;4.4;73879;100;9;4;2;13
Implosion - Never Lose Hope;action;rayark international limited;1;0;0;12;5000000;0;4.1;277302;100;12;7;4;23
Eternal Card Game;card;dire wolf digital;1;0;1;7;500000;0;4.3;1006;100;14;9;4;14
The Greedy Cave;role playing;avalon-games;1;1;1;0;1000000;0;4.2;64674;100;23;11;5;17
Towaga - Free edition;action;sunnyside games;0;1;0;7;500000;0;4.0;3909;100;41;25;11;13
Clawbert;casual;hyperbeard;1;1;0;0;1000000;0;4.5;134946;100;16;6;2;6
Choice Game Library: Delight Games;role playing;delight games;1;1;0;12;500000;0;4.8;68307;100;13;2;0;1
KROSMAGA - The WAKFU Card Game;card;ankama games;1;0;1;0;100000;0;4.4;26006;100;23;7;2;10
Darkness Survival;role playing;zero++ software;1;1;0;12;100000;0;4.2;11932;100;24;12;4;13
NoStranger;simulation;black vein productions, inc.;1;1;0;12;1000000;0;4.2;14061;100;17;11;6;15
Racing Penguin - Flying Free;action;top free games.;1;1;0;0;1000000;0;4.6;27095;100;11;5;1;6
SteamPower 1830 Railroad Tycoon;strategy;hexagon game labs gmbh;1;0;0;0;100000;0;4.0;5163;100;37;18;4;22
Cooking Joy - Super Cooking Games, Best Cook!;simulation;top girl games;1;1;0;0;5000000;0;4.6;201333;100;15;6;2;5
My TV Tycoon;simulation;franck beugnet;1;1;0;0;10000;0;3.5;379;100;64;40;12;51
Crypto Capitalist - Idle Game;simulation;kuro neko games;1;1;0;0;5000;0;3.9;442;100;27;10;5;31
Tip Tap Soccer;arcade;neon play;1;1;0;0;500000;0;2.9;3013;95;25;62;36;100
CLICKPOCALYPSE II;role playing;minmaxia;0;1;0;7;100000;0;4.7;5694;100;15;3;1;2
Teon - All Fair Hardcore ARPG;role playing;lakoo;1;0;1;18;100000;0;3.4;5174;100;22;27;10;64
Idle Tycoon: Wild West Clicker Game - Tap for Cash;simulation;tamasenco;1;1;0;0;100000;0;3.7;2344;100;15;14;5;39
HERETIC GODS;role playing;curacha games;1;1;0;12;1000000;0;3.8;11303;100;36;23;13;32
Total Domination - Reborn;strategy;plarium global ltd;1;0;1;7;1000000;0;4.2;85128;100;21;10;4;18
Soldiers Inc: Mobile Warfare;strategy;plarium global ltd;1;0;1;0;1000000;0;4.4;59832;100;19;7;3;10
The X-Files: Deep State - Hidden Object Adventure;casual;creative mobile games;1;1;0;18;500000;0;4.3;30595;100;27;13;7;10
Traffic Rush;casual;donut games;1;1;0;0;500000;0;4.1;11757;100;22;9;7;20
City 2048;puzzle;underair;0;1;0;0;1000000;0;4.4;76156;100;22;9;3;9
Transport Empire: Steam Tycoon;simulation;game insight;1;1;0;0;1000000;0;4.5;154948;100;21;4;2;7
Biotix: Phage Genesis;strategy;ten percent red;1;1;0;0;1000000;0;4.5;173167;100;28;9;2;5
Math Race;educational;c.p.s.;0;1;0;0;100000;0;4.0;269;100;19;10;4;25
Division Math (kids math) free;educational;andela ict;0;1;0;0;1000;0;3.0;11;100;0;25;100;50
The Ghost of Dinant;casual;furet company;0;0;0;0;500;0;4.0;9;100;20;40;0;20
Wheelie Bike;racing;rivergames oy;1;1;0;0;1000000;0;4.5;30009;100;15;7;1;9
Airport Madness 3D;adventure;big fat simulations inc.;1;0;0;0;1000000;0;3.9;15969;100;22;14;9;30
Lotto Scratch � Las Vegas;casino;lotto scratch powerball;1;1;0;12;1000000;0;4.7;75687;100;7;3;1;4
2048 x 360;puzzle;nekobukiya;0;1;0;0;100000;0;4.0;1661;100;33;18;6;20
HonorBound RPG;role playing;app holdings;1;1;1;7;1000000;0;4.6;306841;100;17;5;1;5
777 Golden Wheel Slot;casino;sheep2 casino - expert in slots game & wheel bonus;1;1;0;12;100000;0;3.5;2204;100;9;14;3;53
Smashy Duo;arcade;big frost games;1;1;0;0;1000000;0;4.5;36766;100;19;5;2;5
GSN Casino: Play casino games- slots, poker, bingo;casino;gsn games, inc.;1;1;0;12;10000000;0;4.3;300765;100;17;8;4;12
FUNNY FOOD 2! Educational Games for Kids Toddlers!;educational;mage studio kid games;1;1;0;0;5000000;0;4.4;27409;100;22;9;3;10
2 For 2: Connect the Numbers Puzzle;puzzle;crazy labs by tabtale;1;1;0;12;1000000;0;4.2;20824;100;35;12;4;13
VIER;casual;sebastian sch�f;1;1;0;0;100;0;4.4;12;100;0;0;10;10
Case Chase - Case Simulator for CS:GO;simulation;vivuga;1;1;0;12;1000000;0;3.9;1309;100;20;12;9;27
Mahjong Quest;puzzle;hashcube;1;0;0;0;500000;0;4.6;8481;100;26;3;1;5
Idle Universe;casual;ivaylodev;0;1;0;0;10000;0;2.9;179;84;21;21;13;100
My Planet;simulation;brandon stecklein;1;1;0;0;1000000;0;3.5;17145;100;34;30;14;50
Planet Sandbox;simulation;larckco;0;0;0;0;10000;0;3.0;227;84;44;46;16;100
2D Car Evolution;simulation;spicy turbo interactive;0;1;0;0;1000;0;4.2;43;100;18;18;18;3
Evolution;simulation;keiwan donyagard;0;0;0;0;1000000;0;3.9;11009;100;30;19;11;22
Real Road Racing-Highway Speed Car Chasing Game;racing;yunchenwangluo;1;1;0;0;1000000;0;4.7;8674;100;4;1;1;4
Wygilgaj Literki - alfabet PL;educational;superedugames;1;0;0;0;50000;0;4.2;612;100;24;4;6;18
Escape Titanic;puzzle;app holdings;1;1;0;7;10000000;0;4.5;1252676;100;11;6;1;6
Desperate Housewives: The Game;simulation;megazebra;1;0;0;16;500000;0;3.9;11466;100;21;16;9;27
Toddler & Baby Games;educational;appquiz;1;1;0;0;5000000;0;3.8;4317;100;23;15;12;30
Dino Puzzle - Dinosaur Games for Kids and Toddlers;puzzle;tiltan games;1;0;0;0;1000000;0;4.0;4231;100;13;11;5;24
Renegade Games Companion;board;dire wolf digital;0;0;0;0;10000;0;4.1;266;100;42;14;9;18
Animals Quiz - guess and learn;trivia;krzysztof osiak;0;1;0;0;500000;0;4.2;3588;100;19;13;5;14
Trivial Quiz English;trivia;cadev games;1;1;0;0;100000;0;4.0;897;100;32;19;5;21
Spider Solitaire;card;spider solitaire card games;1;1;0;0;5000000;0;4.7;107299;100;16;4;1;2
Culture Quizz;trivia;mediawix;0;1;0;0;1000000;0;4.3;21309;100;53;16;2;8
MechBox: The Ultimate Puzzle Box;puzzle;ogurec apps;1;1;0;0;1000000;0;4.2;57416;100;18;9;5;17
EnigmBox;puzzle;beno�t freslon;1;1;0;0;100000;0;4.7;5856;100;17;5;1;2
Knots Puzzle;puzzle;ibex solutions;1;1;1;0;1000000;0;4.6;1197;100;18;5;1;3
Puzzle Kids - Animals Shapes and Jigsaw Puzzles;educational;rv appstudios;0;0;0;0;5000000;0;4.5;6538;100;17;7;3;6
Girls X Battle:GXB_Global;role playing;carolgames;1;0;1;12;1000000;0;4.6;168583;100;9;4;1;6
NinjaGirls:Reborn;role playing;carolgames;1;0;1;12;1000000;0;4.5;46692;100;11;4;3;8
Slots;casino;free puzzle games, ltd.;1;1;0;12;500000;0;4.7;16002;100;8;3;0;4
Pirate Chronicles;strategy;nordcurrent;1;1;0;0;1000000;0;4.0;7487;100;15;10;5;28
Bridge Builder Simulator;puzzle;aidem media;1;1;0;0;1000000;0;4.1;1913;100;16;11;4;19
Manuganu 2;action;alper sarikaya;1;1;0;7;5000000;0;4.6;245808;100;10;4;1;6
